  Time                 , (MAX(-I(R1)))@1      , (MAX(-I(R1)))@2      , (MAX(-I(R1)))@3      , (MAX(-I(R1)))@4      , (MAX(-I(R1)))@5      , (MAX(-I(R1)))@6      , (MAX(-I(R1)))@7      , (MAX(-I(R1)))@8      , (MAX(-I(R1)))@9      , (MAX(-I(R1)))@10     , (MAX(-I(R1)))@11     , (MAX(-I(R1)))@12     , (MAX(-I(R1)))@13     , (MAX(-I(R1)))@14     , (MAX(-I(R1)))@15     , (MAX(-I(R1)))@16     , (MAX(-I(R1)))@17     , (MAX(-I(R1)))@18     , (MAX(-I(R1)))@19     
  4.000503262354e-06  ,7.923573044702e+01  ,5.668752769841e+01  ,4.413423308081e+01  ,3.613492651124e+01  ,3.059154405377e+01  ,2.652337105733e+01  ,2.341059460136e+01  ,2.095200475084e+01  ,1.896080309518e+01  ,1.731538507714e+01  ,1.593282539325e+01  ,1.475478832541e+01  ,1.373900339915e+01  ,1.285410818665e+01  ,1.207633191720e+01  ,1.138733211133e+01  ,1.077275867902e+01  ,1.022108376099e+01  ,9.723195627371e+00  
  4.000691273099e-06  ,7.923573044702e+01  ,5.668752769841e+01  ,4.413423308081e+01  ,3.613492651124e+01  ,3.059154405377e+01  ,2.652337105733e+01  ,2.341059460136e+01  ,2.095200475084e+01  ,1.896080309518e+01  ,1.731538507714e+01  ,1.593282539325e+01  ,1.475478832541e+01  ,1.373900339915e+01  ,1.285410818665e+01  ,1.207633191720e+01  ,1.138733211133e+01  ,1.077275867902e+01  ,1.022108376099e+01  ,9.723195627371e+00  
  4.001000000001e-06  ,7.923573044702e+01  ,5.668752769841e+01  ,4.413423308081e+01  ,3.613492651124e+01  ,3.059154405377e+01  ,2.652337105733e+01  ,2.341059460136e+01  ,2.095200475084e+01  ,1.896080309518e+01  ,1.731538507714e+01  ,1.593282539325e+01  ,1.475478832541e+01  ,1.373900339915e+01  ,1.285410818665e+01  ,1.207633191720e+01  ,1.138733211133e+01  ,1.077275867902e+01  ,1.022108376099e+01  ,9.723195627371e+00  
  4.001009848399e-06  ,7.923573044702e+01  ,5.668752769841e+01  ,4.413423308081e+01  ,3.613492651124e+01  ,3.059154405377e+01  ,2.652337105733e+01  ,2.341059460136e+01  ,2.095200475084e+01  ,1.896080309518e+01  ,1.731538507714e+01  ,1.593282539325e+01  ,1.475478832541e+01  ,1.373900339915e+01  ,1.285410818665e+01  ,1.207633191720e+01  ,1.138733211133e+01  ,1.077275867902e+01  ,1.022108376099e+01  ,9.723195627371e+00  
  4.001029545871e-06  ,7.923573044702e+01  ,5.668752769841e+01  ,4.413423308081e+01  ,3.613492651124e+01  ,3.059154405377e+01  ,2.652337105733e+01  ,2.341059460136e+01  ,2.095200475084e+01  ,1.896080309518e+01  ,1.731538507714e+01  ,1.593282539325e+01  ,1.475478832541e+01  ,1.373900339915e+01  ,1.285410818665e+01  ,1.207633191720e+01  ,1.138733211133e+01  ,1.077275867902e+01  ,1.022108376099e+01  ,9.723195627371e+00  
  4.001058473097e-06  ,7.923573044702e+01  ,5.668752769841e+01  ,4.413423308081e+01  ,3.613492651124e+01  ,3.059154405377e+01  ,2.652337105733e+01  ,2.341059460136e+01  ,2.095200475084e+01  ,1.896080309518e+01  ,1.731538507714e+01  ,1.593282539325e+01  ,1.475478832541e+01  ,1.373900339915e+01  ,1.285410818665e+01  ,1.207633191720e+01  ,1.138733211133e+01  ,1.077275867902e+01  ,1.022108376099e+01  ,9.723195627371e+00  
  4.001097868042e-06  ,7.923573044702e+01  ,5.668752769841e+01  ,4.413423308081e+01  ,3.613492651124e+01  ,3.059154405377e+01  ,2.652337105733e+01  ,2.341059460136e+01  ,2.095200475084e+01  ,1.896080309518e+01  ,1.731538507714e+01  ,1.593282539325e+01  ,1.475478832541e+01  ,1.373900339915e+01  ,1.285410818665e+01  ,1.207633191720e+01  ,1.138733211133e+01  ,1.077275867902e+01  ,1.022108376099e+01  ,9.723195627371e+00  
  4.001143083753e-06  ,7.923573044702e+01  ,5.668752769841e+01  ,4.413423308081e+01  ,3.613492651124e+01  ,3.059154405377e+01  ,2.652337105733e+01  ,2.341059460136e+01  ,2.095200475084e+01  ,1.896080309518e+01  ,1.731538507714e+01  ,1.593282539325e+01  ,1.475478832541e+01  ,1.373900339915e+01  ,1.285410818665e+01  ,1.207633191720e+01  ,1.138733211133e+01  ,1.077275867902e+01  ,1.022108376099e+01  ,9.723195627371e+00  
  4.001233515175e-06  ,7.923573044702e+01  ,5.668752769841e+01  ,4.413423308081e+01  ,3.613492651124e+01  ,3.059154405377e+01  ,2.652337105733e+01  ,2.341059460136e+01  ,2.095200475084e+01  ,1.896080309518e+01  ,1.731538507714e+01  ,1.593282539325e+01  ,1.475478832541e+01  ,1.373900339915e+01  ,1.285410818665e+01  ,1.207633191720e+01  ,1.138733211133e+01  ,1.077275867902e+01  ,1.022108376099e+01  ,9.723195627371e+00  
  4.001345821036e-06  ,7.923573044702e+01  ,5.668752769841e+01  ,4.413423308081e+01  ,3.613492651124e+01  ,3.059154405377e+01  ,2.652337105733e+01  ,2.341059460136e+01  ,2.095200475084e+01  ,1.896080309518e+01  ,1.731538507714e+01  ,1.593282539325e+01  ,1.475478832541e+01  ,1.373900339915e+01  ,1.285410818665e+01  ,1.207633191720e+01  ,1.138733211133e+01  ,1.077275867902e+01  ,1.022108376099e+01  ,9.723195627371e+00  
