  Time                 , (MAX(I(L1)))@1       , (MAX(I(L1)))@2       , (MAX(I(L1)))@3       , (MAX(I(L1)))@4       , (MAX(I(L1)))@5       , (MAX(I(L1)))@6       , (MAX(I(L1)))@7       , (MAX(I(L1)))@8       , (MAX(I(L1)))@9       , (MAX(I(L1)))@10      , (MAX(I(L1)))@11      , (MAX(I(L1)))@12      , (MAX(I(L1)))@13      , (MAX(I(L1)))@14      , (MAX(I(L1)))@15      , (MAX(I(L1)))@16      , (MAX(I(L1)))@17      , (MAX(I(L1)))@18      , (MAX(I(L1)))@19      , (MAX(I(L1)))@20      , (MAX(I(L1)))@21      
  4.001060193140e-06  ,7.934852814805e+01  ,7.313055665427e+01  ,6.781857018554e+01  ,6.322955931179e+01  ,5.921918803738e+01  ,5.569618675989e+01  ,5.256606143059e+01  ,4.977485848362e+01  ,4.726515230458e+01  ,4.499729634430e+01  ,4.293845668787e+01  ,4.106196064482e+01  ,3.934212749919e+01  ,3.776224087909e+01  ,3.630421732377e+01  ,3.495503283716e+01  ,3.370313227709e+01  ,3.253956650857e+01  ,3.145273239559e+01  ,3.043655276446e+01  ,2.948477078909e+01  
  4.001083813809e-06  ,7.934852814805e+01  ,7.313055665427e+01  ,6.781857018554e+01  ,6.322955931179e+01  ,5.921918803738e+01  ,5.569618675989e+01  ,5.256606143059e+01  ,4.977485848362e+01  ,4.726515230458e+01  ,4.499729634430e+01  ,4.293845668787e+01  ,4.106196064482e+01  ,3.934212749919e+01  ,3.776224087909e+01  ,3.630421732377e+01  ,3.495503283716e+01  ,3.370313227709e+01  ,3.253956650857e+01  ,3.145273239559e+01  ,3.043655276446e+01  ,2.948477078909e+01  
  4.001130723363e-06  ,7.934852814805e+01  ,7.313055665427e+01  ,6.781857018554e+01  ,6.322955931179e+01  ,5.921918803738e+01  ,5.569618675989e+01  ,5.256606143059e+01  ,4.977485848362e+01  ,4.726515230458e+01  ,4.499729634430e+01  ,4.293845668787e+01  ,4.106196064482e+01  ,3.934212749919e+01  ,3.776224087909e+01  ,3.630421732377e+01  ,3.495503283716e+01  ,3.370313227709e+01  ,3.253956650857e+01  ,3.145273239559e+01  ,3.043655276446e+01  ,2.948477078909e+01  
  4.001177964701e-06  ,7.934852814805e+01  ,7.313055665427e+01  ,6.781857018554e+01  ,6.322955931179e+01  ,5.921918803738e+01  ,5.569618675989e+01  ,5.256606143059e+01  ,4.977485848362e+01  ,4.726515230458e+01  ,4.499729634430e+01  ,4.293845668787e+01  ,4.106196064482e+01  ,3.934212749919e+01  ,3.776224087909e+01  ,3.630421732377e+01  ,3.495503283716e+01  ,3.370313227709e+01  ,3.253956650857e+01  ,3.145273239559e+01  ,3.043655276446e+01  ,2.948477078909e+01  
  4.001271783808e-06  ,7.934852814805e+01  ,7.313055665427e+01  ,6.781857018554e+01  ,6.322955931179e+01  ,5.921918803738e+01  ,5.569618675989e+01  ,5.256606143059e+01  ,4.977485848362e+01  ,4.726515230458e+01  ,4.499729634430e+01  ,4.293845668787e+01  ,4.106196064482e+01  ,3.934212749919e+01  ,3.776224087909e+01  ,3.630421732377e+01  ,3.495503283716e+01  ,3.370313227709e+01  ,3.253956650857e+01  ,3.145273239559e+01  ,3.043655276446e+01  ,2.948477078909e+01  
  4.001426406639e-06  ,7.934852814805e+01  ,7.313055665427e+01  ,6.781857018554e+01  ,6.322955931179e+01  ,5.921918803738e+01  ,5.569618675989e+01  ,5.256606143059e+01  ,4.977485848362e+01  ,4.726515230458e+01  ,4.499729634430e+01  ,4.293845668787e+01  ,4.106196064482e+01  ,3.934212749919e+01  ,3.776224087909e+01  ,3.630421732377e+01  ,3.495503283716e+01  ,3.370313227709e+01  ,3.253956650857e+01  ,3.145273239559e+01  ,3.043655276446e+01  ,2.948477078909e+01  
  4.001591809528e-06  ,7.934852814805e+01  ,7.313055665427e+01  ,6.781857018554e+01  ,6.322955931179e+01  ,5.921918803738e+01  ,5.569618675989e+01  ,5.256606143059e+01  ,4.977485848362e+01  ,4.726515230458e+01  ,4.499729634430e+01  ,4.293845668787e+01  ,4.106196064482e+01  ,3.934212749919e+01  ,3.776224087909e+01  ,3.630421732377e+01  ,3.495503283716e+01  ,3.370313227709e+01  ,3.253956650857e+01  ,3.145273239559e+01  ,3.043655276446e+01  ,2.948477078909e+01  
  4.001776351096e-06  ,7.934852814805e+01  ,7.313055665427e+01  ,6.781857018554e+01  ,6.322955931179e+01  ,5.921918803738e+01  ,5.569618675989e+01  ,5.256606143059e+01  ,4.977485848362e+01  ,4.726515230458e+01  ,4.499729634430e+01  ,4.293845668787e+01  ,4.106196064482e+01  ,3.934212749919e+01  ,3.776224087909e+01  ,3.630421732377e+01  ,3.495503283716e+01  ,3.370313227709e+01  ,3.253956650857e+01  ,3.145273239559e+01  ,3.043655276446e+01  ,2.948477078909e+01  
  4.002075817870e-06  ,7.934852814805e+01  ,7.313055665427e+01  ,6.781857018554e+01  ,6.322955931179e+01  ,5.921918803738e+01  ,5.569618675989e+01  ,5.256606143059e+01  ,4.977485848362e+01  ,4.726515230458e+01  ,4.499729634430e+01  ,4.293845668787e+01  ,4.106196064482e+01  ,3.934212749919e+01  ,3.776224087909e+01  ,3.630421732377e+01  ,3.495503283716e+01  ,3.370313227709e+01  ,3.253956650857e+01  ,3.145273239559e+01  ,3.043655276446e+01  ,2.948477078909e+01  
  4.002525320711e-06  ,7.934852814805e+01  ,7.313055665427e+01  ,6.781857018554e+01  ,6.322955931179e+01  ,5.921918803738e+01  ,5.569618675989e+01  ,5.256606143059e+01  ,4.977485848362e+01  ,4.726515230458e+01  ,4.499729634430e+01  ,4.293845668787e+01  ,4.106196064482e+01  ,3.934212749919e+01  ,3.776224087909e+01  ,3.630421732377e+01  ,3.495503283716e+01  ,3.370313227709e+01  ,3.253956650857e+01  ,3.145273239559e+01  ,3.043655276446e+01  ,2.948477078909e+01  
  4.002983624550e-06  ,7.934852814805e+01  ,7.313055665427e+01  ,6.781857018554e+01  ,6.322955931179e+01  ,5.921918803738e+01  ,5.569618675989e+01  ,5.256606143059e+01  ,4.977485848362e+01  ,4.726515230458e+01  ,4.499729634430e+01  ,4.293845668787e+01  ,4.106196064482e+01  ,3.934212749919e+01  ,3.776224087909e+01  ,3.630421732377e+01  ,3.495503283716e+01  ,3.370313227709e+01  ,3.253956650857e+01  ,3.145273239559e+01  ,3.043655276446e+01  ,2.948477078909e+01  
  4.003426515000e-06  ,7.934852814805e+01  ,7.313055665427e+01  ,6.781857018554e+01  ,6.322955931179e+01  ,5.921918803738e+01  ,5.569618675989e+01  ,5.256606143059e+01  ,4.977485848362e+01  ,4.726515230458e+01  ,4.499729634430e+01  ,4.293845668787e+01  ,4.106196064482e+01  ,3.934212749919e+01  ,3.776224087909e+01  ,3.630421732377e+01  ,3.495503283716e+01  ,3.370313227709e+01  ,3.253956650857e+01  ,3.145273239559e+01  ,3.043655276446e+01  ,2.948477078909e+01  
  4.004066054212e-06  ,7.934852814805e+01  ,7.313055665427e+01  ,6.781857018554e+01  ,6.322955931179e+01  ,5.921918803738e+01  ,5.569618675989e+01  ,5.256606143059e+01  ,4.977485848362e+01  ,4.726515230458e+01  ,4.499729634430e+01  ,4.293845668787e+01  ,4.106196064482e+01  ,3.934212749919e+01  ,3.776224087909e+01  ,3.630421732377e+01  ,3.495503283716e+01  ,3.370313227709e+01  ,3.253956650857e+01  ,3.145273239559e+01  ,3.043655276446e+01  ,2.948477078909e+01  
  4.004851997333e-06  ,7.934852814805e+01  ,7.313055665427e+01  ,6.781857018554e+01  ,6.322955931179e+01  ,5.921918803738e+01  ,5.569618675989e+01  ,5.256606143059e+01  ,4.977485848362e+01  ,4.726515230458e+01  ,4.499729634430e+01  ,4.293845668787e+01  ,4.106196064482e+01  ,3.934212749919e+01  ,3.776224087909e+01  ,3.630421732377e+01  ,3.495503283716e+01  ,3.370313227709e+01  ,3.253956650857e+01  ,3.145273239559e+01  ,3.043655276446e+01  ,2.948477078909e+01  
  4.005668767231e-06  ,7.934852814805e+01  ,7.313055665427e+01  ,6.781857018554e+01  ,6.322955931179e+01  ,5.921918803738e+01  ,5.569618675989e+01  ,5.256606143059e+01  ,4.977485848362e+01  ,4.726515230458e+01  ,4.499729634430e+01  ,4.293845668787e+01  ,4.106196064482e+01  ,3.934212749919e+01  ,3.776224087909e+01  ,3.630421732377e+01  ,3.495503283716e+01  ,3.370313227709e+01  ,3.253956650857e+01  ,3.145273239559e+01  ,3.043655276446e+01  ,2.948477078909e+01  
  4.006579600709e-06  ,7.934852814805e+01  ,7.313055665427e+01  ,6.781857018554e+01  ,6.322955931179e+01  ,5.921918803738e+01  ,5.569618675989e+01  ,5.256606143059e+01  ,4.977485848362e+01  ,4.726515230458e+01  ,4.499729634430e+01  ,4.293845668787e+01  ,4.106196064482e+01  ,3.934212749919e+01  ,3.776224087909e+01  ,3.630421732377e+01  ,3.495503283716e+01  ,3.370313227709e+01  ,3.253956650857e+01  ,3.145273239559e+01  ,3.043655276446e+01  ,2.948477078909e+01  
  4.007579654889e-06  ,7.934852814805e+01  ,7.313055665427e+01  ,6.781857018554e+01  ,6.322955931179e+01  ,5.921918803738e+01  ,5.569618675989e+01  ,5.256606143059e+01  ,4.977485848362e+01  ,4.726515230458e+01  ,4.499729634430e+01  ,4.293845668787e+01  ,4.106196064482e+01  ,3.934212749919e+01  ,3.776224087909e+01  ,3.630421732377e+01  ,3.495503283716e+01  ,3.370313227709e+01  ,3.253956650857e+01  ,3.145273239559e+01  ,3.043655276446e+01  ,2.948477078909e+01  
  4.008579709070e-06  ,7.934852814805e+01  ,7.313055665427e+01  ,6.781857018554e+01  ,6.322955931179e+01  ,5.921918803738e+01  ,5.569618675989e+01  ,5.256606143059e+01  ,4.977485848362e+01  ,4.726515230458e+01  ,4.499729634430e+01  ,4.293845668787e+01  ,4.106196064482e+01  ,3.934212749919e+01  ,3.776224087909e+01  ,3.630421732377e+01  ,3.495503283716e+01  ,3.370313227709e+01  ,3.253956650857e+01  ,3.145273239559e+01  ,3.043655276446e+01  ,2.948477078909e+01  
